Datum;Mittelwert;Maximum;Minimum;Prüfstatus
01.01.24;260;261;260;Geprueft
02.01.24;260;260;260;Geprueft
03.01.24;260;260;260;Geprueft
04.01.24;258;260;256;Geprueft
05.01.24;252;256;249;Geprueft
06.01.24;249;249;249;Geprueft
07.01.24;249;249;249;Geprueft
08.01.24;247;249;245;Geprueft
09.01.24;242;245;239;Geprueft
10.01.24;239;240;239;Geprueft
11.01.24;239;240;239;Geprueft
12.01.24;239;241;239;Geprueft
13.01.24;240;240;239;Geprueft
14.01.24;240;240;239;Geprueft
15.01.24;240;240;239;Geprueft
16.01.24;240;240;239;Geprueft
17.01.24;239;239;239;Geprueft
18.01.24;239;240;239;Geprueft
19.01.24;240;240;240;Geprueft
20.01.24;240;240;239;Geprueft
21.01.24;240;240;239;Geprueft
22.01.24;239;240;239;Geprueft
23.01.24;240;240;239;Geprueft
24.01.24;242;246;240;Geprueft
25.01.24;284;312;246;Geprueft
26.01.24;303;312;296;Geprueft
27.01.24;295;298;288;Geprueft
28.01.24;281;288;278;Geprueft
29.01.24;268;278;261;Geprueft
30.01.24;261;261;261;Geprueft
31.01.24;253;261;241;Geprueft
01.02.24;241;242;241;Geprueft
02.02.24;242;244;242;Geprueft
03.02.24;242;242;242;Geprueft
04.02.24;242;242;241;Geprueft
05.02.24;242;242;241;Geprueft
06.02.24;241;242;241;Geprueft
07.02.24;241;241;241;Geprueft
08.02.24;241;241;241;Geprueft
09.02.24;249;255;241;Geprueft
10.02.24;255;255;255;Geprueft
11.02.24;255;255;255;Geprueft
12.02.24;255;255;255;Geprueft
13.02.24;252;255;249;Geprueft
14.02.24;249;249;249;Geprueft
15.02.24;249;249;249;Geprueft
16.02.24;249;251;249;Geprueft
17.02.24;248;249;248;Geprueft
18.02.24;247;248;246;Geprueft
19.02.24;248;251;246;Geprueft
20.02.24;250;251;250;Geprueft
21.02.24;249;250;249;Geprueft
22.02.24;249;249;249;Geprueft
23.02.24;249;251;249;Geprueft
24.02.24;249;249;249;Geprueft
25.02.24;249;249;249;Geprueft
26.02.24;248;249;247;Geprueft
27.02.24;244;247;241;Geprueft
28.02.24;241;241;241;Geprueft
29.02.24;241;241;241;Geprueft
01.03.24;241;244;241;Geprueft
02.03.24;241;241;241;Geprueft
03.03.24;241;241;241;Geprueft
04.03.24;241;241;241;Geprueft
05.03.24;244;246;241;Geprueft
06.03.24;246;246;246;Geprueft
07.03.24;245;246;244;Geprueft
08.03.24;244;246;244;Geprueft
09.03.24;244;244;244;Geprueft
10.03.24;244;244;244;Geprueft
11.03.24;244;244;244;Geprueft
12.03.24;244;244;244;Geprueft
13.03.24;241;244;238;Geprueft
14.03.24;238;238;238;Geprueft
15.03.24;244;250;238;Geprueft
16.03.24;249;249;249;Geprueft
17.03.24;249;249;249;Geprueft
18.03.24;249;249;249;Geprueft
19.03.24;249;249;249;Geprueft
20.03.24;249;249;249;Geprueft
21.03.24;249;249;249;Geprueft
22.03.24;249;250;249;Geprueft
23.03.24;249;249;249;Geprueft
24.03.24;248;249;247;Geprueft
25.03.24;245;247;243;Geprueft
26.03.24;243;243;243;Geprueft
27.03.24;243;244;243;Geprueft
28.03.24;243;244;242;Geprueft
29.03.24;244;244;243;Geprueft
30.03.24;244;244;243;Geprueft
31.03.24;245;246;243;Geprueft
01.04.24;246;246;245;Geprueft
02.04.24;246;246;246;Geprueft
03.04.24;247;248;246;Geprueft
04.04.24;247;248;247;Geprueft
05.04.24;247;248;247;Geprueft
06.04.24;247;248;247;Geprueft
07.04.24;247;248;247;Geprueft
08.04.24;247;248;247;Geprueft
09.04.24;247;248;247;Geprueft
10.04.24;248;248;247;Geprueft
11.04.24;247;248;247;Geprueft
12.04.24;247;248;247;Geprueft
13.04.24;247;248;247;Geprueft
14.04.24;247;248;247;Geprueft
15.04.24;247;248;247;Geprueft
16.04.24;248;248;247;Geprueft
17.04.24;248;249;247;Geprueft
18.04.24;248;248;248;Geprueft
19.04.24;247;248;247;Geprueft
20.04.24;247;248;247;Geprueft
21.04.24;247;247;247;Geprueft
22.04.24;248;249;247;Geprueft
23.04.24;249;249;249;Geprueft
24.04.24;249;250;249;Geprueft
25.04.24;251;254;246;Geprueft
26.04.24;254;255;254;Geprueft
27.04.24;256;259;254;Geprueft
28.04.24;260;262;258;Geprueft
29.04.24;261;261;261;Geprueft
30.04.24;268;296;260;Geprueft
01.05.24;260;261;260;Geprueft
02.05.24;260;261;260;Geprueft
03.05.24;260;261;260;Geprueft
04.05.24;260;261;260;Geprueft
05.05.24;260;260;260;Geprueft
06.05.24;260;260;260;Geprueft
07.05.24;260;260;260;Geprueft
08.05.24;261;262;260;Geprueft
09.05.24;261;261;260;Geprueft
10.05.24;261;262;260;Geprueft
11.05.24;260;261;260;Geprueft
12.05.24;257;260;256;Geprueft
13.05.24;252;256;249;Geprueft
14.05.24;249;249;249;Geprueft
15.05.24;249;249;249;Geprueft
16.05.24;249;249;249;Geprueft
17.05.24;249;250;249;Geprueft
18.05.24;248;249;248;Geprueft
19.05.24;248;248;248;Geprueft
20.05.24;247;248;247;Geprueft
21.05.24;246;247;245;Geprueft
22.05.24;244;248;241;Geprueft
23.05.24;245;249;244;Geprueft
24.05.24;245;246;245;Geprueft
25.05.24;245;246;245;Geprueft
26.05.24;245;246;245;Geprueft
27.05.24;245;249;245;Geprueft
28.05.24;272;289;248;Geprueft
29.05.24;271;288;261;Geprueft
30.05.24;261;262;260;Geprueft
31.05.24;263;266;261;Geprueft
01.06.24;291;326;262;Geprueft
02.06.24;325;326;323;Geprueft
03.06.24;315;327;291;Geprueft
04.06.24;324;351;289;Geprueft
05.06.24;324;325;323;Geprueft
06.06.24;353;378;322;Geprueft
07.06.24;375;410;353;Geprueft
08.06.24;338;355;314;Geprueft
09.06.24;314;316;313;Geprueft
10.06.24;314;316;314;Geprueft
11.06.24;300;315;290;Geprueft
12.06.24;284;290;280;Geprueft
13.06.24;280;281;280;Geprueft
14.06.24;278;280;277;Geprueft
15.06.24;277;277;277;Geprueft
16.06.24;277;277;277;Geprueft
17.06.24;285;292;277;Geprueft
18.06.24;274;292;260;Geprueft
19.06.24;261;261;260;Geprueft
20.06.24;261;261;260;Geprueft
21.06.24;261;261;260;Geprueft
22.06.24;261;262;261;Geprueft
23.06.24;261;262;261;Geprueft
24.06.24;286;304;261;Geprueft
25.06.24;303;304;303;Geprueft
26.06.24;281;304;260;Geprueft
27.06.24;260;261;260;Geprueft
28.06.24;258;262;256;Geprueft
29.06.24;256;256;256;Geprueft
30.06.24;256;256;256;Geprueft
01.07.24;259;261;256;Geprueft
02.07.24;261;261;260;Geprueft
03.07.24;261;262;260;Geprueft
04.07.24;261;261;261;Geprueft
05.07.24;261;263;260;Geprueft
06.07.24;287;304;260;Geprueft
07.07.24;287;304;277;Geprueft
08.07.24;268;278;260;Geprueft
09.07.24;260;261;260;Geprueft
10.07.24;260;262;260;Geprueft
11.07.24;261;261;260;Geprueft
12.07.24;261;265;261;Geprueft
13.07.24;262;265;261;Geprueft
14.07.24;259;261;257;Geprueft
15.07.24;253;258;249;Geprueft
16.07.24;249;250;249;Geprueft
17.07.24;249;249;249;Geprueft
18.07.24;249;249;249;Geprueft
19.07.24;249;251;247;Geprueft
20.07.24;249;249;249;Geprueft
21.07.24;249;251;249;Geprueft
22.07.24;257;261;250;Geprueft
23.07.24;268;271;261;Geprueft
24.07.24;281;288;271;Geprueft
25.07.24;281;287;272;Geprueft
26.07.24;265;272;260;Geprueft
27.07.24;261;261;260;Geprueft
28.07.24;261;261;260;Geprueft
29.07.24;258;261;256;Geprueft
30.07.24;252;256;249;Geprueft
31.07.24;249;250;249;Geprueft
01.08.24;249;250;249;Geprueft
02.08.24;249;252;249;Geprueft
03.08.24;249;249;249;Geprueft
04.08.24;249;250;249;Geprueft
05.08.24;249;249;249;Geprueft
06.08.24;249;249;249;Geprueft
07.08.24;249;249;249;Geprueft
08.08.24;248;249;247;Geprueft
09.08.24;248;248;247;Geprueft
10.08.24;248;248;247;Geprueft
11.08.24;248;248;247;Geprueft
12.08.24;248;248;247;Geprueft
13.08.24;248;248;247;Geprueft
14.08.24;248;251;248;Geprueft
15.08.24;248;249;248;Geprueft
16.08.24;249;249;248;Geprueft
17.08.24;249;250;249;Geprueft
18.08.24;249;251;249;Geprueft
19.08.24;258;267;251;Geprueft
20.08.24;260;262;258;Geprueft
21.08.24;260;261;260;Geprueft
22.08.24;261;261;261;Geprueft
23.08.24;256;261;254;Geprueft
24.08.24;251;254;249;Geprueft
25.08.24;250;251;249;Geprueft
26.08.24;248;251;247;Geprueft
27.08.24;246;247;246;Geprueft
28.08.24;246;246;246;Geprueft
29.08.24;246;247;246;Geprueft
30.08.24;246;248;246;Geprueft
31.08.24;246;246;246;Geprueft
01.09.24;246;247;245;Geprueft
02.09.24;246;246;246;Geprueft
03.09.24;248;249;246;Geprueft
04.09.24;250;257;249;Geprueft
05.09.24;250;251;250;Geprueft
06.09.24;250;251;249;Geprueft
07.09.24;249;250;249;Geprueft
08.09.24;249;249;248;Geprueft
09.09.24;249;250;249;Geprueft
10.09.24;246;249;244;Geprueft
11.09.24;253;261;244;Geprueft
12.09.24;261;261;261;Geprueft
13.09.24;273;284;261;Geprueft
14.09.24;288;307;282;Geprueft
15.09.24;310;313;306;Geprueft
16.09.24;312;314;311;Geprueft
17.09.24;313;315;311;Geprueft
18.09.24;314;319;311;Geprueft
19.09.24;317;319;316;Geprueft
20.09.24;306;318;300;Geprueft
21.09.24;291;300;287;Geprueft
22.09.24;280;287;277;Geprueft
23.09.24;277;278;277;Geprueft
24.09.24;267;277;261;Geprueft
25.09.24;261;261;261;Geprueft
26.09.24;268;277;261;Geprueft
27.09.24;277;279;276;Geprueft
28.09.24;278;280;278;Geprueft
29.09.24;278;279;278;Geprueft
30.09.24;278;278;277;Geprueft
01.10.24;267;278;261;Geprueft
02.10.24;261;261;261;Geprueft
03.10.24;261;261;261;Geprueft
04.10.24;262;262;261;Geprueft
05.10.24;261;262;261;Geprueft
06.10.24;261;261;261;Geprueft
07.10.24;261;261;261;Geprueft
08.10.24;261;261;261;Geprueft
09.10.24;261;262;261;Geprueft
10.10.24;262;263;261;Geprueft
11.10.24;272;279;261;Geprueft
12.10.24;278;278;277;Geprueft
13.10.24;277;278;277;Geprueft
14.10.24;277;278;277;Geprueft
15.10.24;267;278;260;Geprueft
16.10.24;261;261;260;Geprueft
17.10.24;258;261;256;Geprueft
18.10.24;252;257;249;Geprueft
19.10.24;250;250;249;Geprueft
20.10.24;250;250;249;Geprueft
21.10.24;248;250;247;Geprueft
22.10.24;247;247;247;Geprueft
23.10.24;247;247;247;Geprueft
24.10.24;247;247;247;Geprueft
25.10.24;244;247;242;Rohdaten
26.10.24;242;242;242;Rohdaten
27.10.24;242;242;242;Rohdaten
28.10.24;242;242;242;Rohdaten
29.10.24;242;242;242;Rohdaten
30.10.24;242;242;242;Rohdaten
31.10.24;242;243;242;Rohdaten
