Datum;Mittelwert;Maximum;Minimum;Prüfstatus
01.01.24;5,4;5,6;5,2;Geprueft
02.01.24;5,4;5,7;5,2;Geprueft
03.01.24;6;6,3;5,7;Geprueft
04.01.24;6;6,2;5,8;Geprueft
05.01.24;5,5;5,8;5,3;Geprueft
06.01.24;5,5;5,7;5,1;Geprueft
07.01.24;4,5;5,1;4,2;Geprueft
08.01.24;4;4,2;3,8;Geprueft
09.01.24;3,5;3,8;3,3;Geprueft
10.01.24;3,6;3,8;3,2;Geprueft
11.01.24;3,7;3,8;3,5;Geprueft
12.01.24;3,7;3,9;3,5;Geprueft
13.01.24;3,8;3,9;3,7;Geprueft
14.01.24;3,5;3,7;3,3;Geprueft
15.01.24;3,3;3,5;3,1;Geprueft
16.01.24;3,4;3,6;3,2;Geprueft
17.01.24;3,6;4,2;3,3;Geprueft
18.01.24;4,6;5;4,2;Geprueft
19.01.24;4,1;4,6;3,5;Geprueft
20.01.24;2,8;3,5;2,5;Geprueft
21.01.24;2,2;2,6;1,7;Geprueft
22.01.24;2,7;3,5;2,3;Geprueft
23.01.24;4;4,6;3,5;Geprueft
24.01.24;5,3;6,2;4,6;Geprueft
25.01.24;5,5;5,9;5,1;Geprueft
26.01.24;5,1;5,4;4,9;Geprueft
27.01.24;4,9;5,2;4,6;Geprueft
28.01.24;4,3;4,6;3,9;Geprueft
29.01.24;4,2;4,5;3,9;Geprueft
30.01.24;4,4;4,8;4;Geprueft
31.01.24;4,8;5,2;4,5;Geprueft
01.02.24;5;5,2;4,7;Geprueft
02.02.24;5,4;5,7;5,1;Geprueft
03.02.24;5,5;5,8;5,1;Geprueft
04.02.24;5,9;6,4;5,4;Geprueft
05.02.24;6,1;6,4;5,6;Geprueft
06.02.24;5,6;6,3;5;Geprueft
07.02.24;5,3;5,7;4,8;Geprueft
08.02.24;5,9;6,5;5,5;Geprueft
09.02.24;6,2;6,5;5,9;Geprueft
10.02.24;6,1;6,3;5,8;Geprueft
11.02.24;6;6,2;5,8;Geprueft
12.02.24;5,9;6,1;5,6;Geprueft
13.02.24;5,8;6,1;5,4;Geprueft
14.02.24;5,6;6,1;5,1;Geprueft
15.02.24;5,9;6,5;5,4;Geprueft
16.02.24;6,2;6,7;5,6;Geprueft
17.02.24;6,6;7;6,3;Geprueft
18.02.24;6,7;7,1;6,3;Geprueft
19.02.24;6,8;7,2;6,5;Geprueft
20.02.24;6,4;6,7;6,2;Geprueft
21.02.24;6;6,4;5,6;Geprueft
22.02.24;6,3;6,7;5,9;Geprueft
23.02.24;6,4;6,6;6,1;Geprueft
24.02.24;5,6;6,1;5,1;Geprueft
25.02.24;6;6,8;5,2;Geprueft
26.02.24;6;6,5;5,3;Geprueft
27.02.24;6;6,5;5,5;Geprueft
28.02.24;6,1;6,3;5,8;Geprueft
29.02.24;6,2;6,6;5,8;Geprueft
01.03.24;6,2;6,5;5,9;Geprueft
02.03.24;6,5;7,1;5,9;Geprueft
03.03.24;6,8;7,4;6,2;Geprueft
04.03.24;6,5;7,3;6,2;Geprueft
05.03.24;6,5;6,8;6,2;Geprueft
06.03.24;6,1;6,7;5,6;Geprueft
07.03.24;5,7;6;5,5;Geprueft
08.03.24;6;6,7;5,2;Geprueft
09.03.24;6,5;7,4;5,5;Geprueft
10.03.24;7;7,7;6,1;Geprueft
11.03.24;7;7,5;6,3;Geprueft
12.03.24;7;7,3;6,4;Geprueft
13.03.24;6,8;7,2;6,4;Geprueft
14.03.24;7,5;8,2;6,7;Geprueft
15.03.24;7,7;8,3;7,1;Geprueft
16.03.24;7,9;8,2;7,4;Geprueft
17.03.24;8,2;8,9;7,6;Geprueft
18.03.24;8,3;8,8;8;Geprueft
19.03.24;8,4;8,9;7,9;Geprueft
20.03.24;8,4;9,3;7,4;Geprueft
21.03.24;8,2;9;7,6;Geprueft
22.03.24;8,5;9,4;7,5;Geprueft
23.03.24;8,4;9,4;7,8;Geprueft
24.03.24;7,1;7,8;6,7;Geprueft
25.03.24;7,1;8,1;6,2;Geprueft
26.03.24;7,7;8,6;6,6;Geprueft
27.03.24;8,1;8,8;7,1;Geprueft
28.03.24;7,9;8,7;7,3;Geprueft
29.03.24;7,3;8,4;6,2;Geprueft
30.03.24;8,7;9,7;7,8;Geprueft
31.03.24;9,3;9,8;8,5;Geprueft
01.04.24;9;9,8;8,6;Geprueft
02.04.24;8,5;8,9;8;Geprueft
03.04.24;8,4;8,9;8,1;Geprueft
04.04.24;8,8;9,3;8,4;Geprueft
05.04.24;10;11;9;Geprueft
06.04.24;11,2;12,1;10,1;Geprueft
07.04.24;11,4;12;10,4;Geprueft
08.04.24;11,8;12,6;10,8;Geprueft
09.04.24;11,5;12,6;10,9;Geprueft
10.04.24;10;11;9,5;Geprueft
11.04.24;9,5;10,4;8,4;Geprueft
12.04.24;10,6;11,8;9,5;Geprueft
13.04.24;11,7;12,4;10,8;Geprueft
14.04.24;12,5;13,2;11,8;Geprueft
15.04.24;12,6;13,3;12;Geprueft
16.04.24;11,3;12;10,8;Geprueft
17.04.24;10;10,8;9,4;Geprueft
18.04.24;8,6;9,4;8,1;Geprueft
19.04.24;8,3;8,7;7,8;Geprueft
20.04.24;8,2;8,8;7,6;Geprueft
21.04.24;7,8;8,3;7,5;Geprueft
22.04.24;7,8;8,2;7,4;Geprueft
23.04.24;7,1;7,4;7;Geprueft
24.04.24;7,5;8;6,9;Geprueft
25.04.24;8,1;9,1;7,2;Geprueft
26.04.24;8,7;9,9;7,4;Geprueft
27.04.24;9,9;11,2;8,4;Geprueft
28.04.24;10,6;11,5;9,5;Geprueft
29.04.24;10,7;11,7;9,7;Geprueft
30.04.24;11,6;12,8;10,5;Geprueft
01.05.24;11,8;12,9;10,8;Geprueft
02.05.24;12,2;12,9;11,4;Geprueft
03.05.24;11,8;12,8;11;Geprueft
04.05.24;11,1;12,1;9,9;Geprueft
05.05.24;12;12,9;11;Geprueft
06.05.24;12,3;13,7;11,2;Geprueft
07.05.24;12,2;12,8;11,5;Geprueft
08.05.24;11,2;12;10,5;Geprueft
09.05.24;10,7;11,3;10,1;Geprueft
10.05.24;11,5;12,8;10,4;Geprueft
11.05.24;12,3;13,8;10,9;Geprueft
12.05.24;12,9;14,5;11,4;Geprueft
13.05.24;13,5;14,8;12,2;Geprueft
14.05.24;14;15,5;12,4;Geprueft
15.05.24;14,2;15;13,3;Geprueft
16.05.24;13,6;14,6;12,6;Geprueft
17.05.24;13,7;14,2;13;Geprueft
18.05.24;13,7;14,9;12,5;Geprueft
19.05.24;14,4;15,6;13,1;Geprueft
20.05.24;14,7;15,9;13,3;Geprueft
21.05.24;14,5;15,6;14;Geprueft
