Datum;Mittelwert;Maximum;Minimum;Prüfstatus
2024-01-01;88,1;94,9;82,6;Rohdaten
2024-01-02;87;91,9;82,6;Rohdaten
2024-01-03;87,3;91,9;79,5;Rohdaten
2024-01-04;76,1;81,1;70,7;Rohdaten
2024-01-05;71,2;75,1;65;Rohdaten
2024-01-06;77,9;84,1;70,7;Rohdaten
2024-01-07;84,6;88,6;78;Rohdaten
2024-01-08;76,9;84,1;69,3;Rohdaten
2024-01-09;80;84,1;75,1;Rohdaten
2024-01-10;69,6;84,1;58,2;Rohdaten
2024-01-11;56,9;63,6;46,9;Rohdaten
2024-01-12;47,3;55,5;39,2;Rohdaten
2024-01-13;50,1;58,2;39,2;Rohdaten
2024-01-14;40,8;49,3;36,2;Rohdaten
2024-01-15;38,7;42,4;33,5;Rohdaten
2024-01-16;39,6;44,6;35,3;Rohdaten
2024-01-17;43,3;48,1;38,2;Rohdaten
2024-01-18;51,5;65;46,9;Rohdaten
2024-01-19;70,9;78;65;Rohdaten
2024-01-20;58;66,4;48,1;Rohdaten
2024-01-21;44,2;49,3;38,2;Rohdaten
2024-01-22;39,5;42,4;36,2;Rohdaten
2024-01-23;39,8;46,9;36,2;Rohdaten
2024-01-24;51,1;70,7;44,6;Rohdaten
2024-01-25;159;254;69,3;Rohdaten
2024-01-26;236;254;207;Rohdaten
2024-01-27;212;225;193;Rohdaten
2024-01-28;163;194;135;Rohdaten
2024-01-29;118;135;101;Rohdaten
2024-01-30;108;122;97,9;Rohdaten
2024-01-31;105;111;99,8;Rohdaten
2024-02-01;87,3;101;75,1;Rohdaten
2024-02-02;79,8;88,6;66,4;Rohdaten
2024-02-03;59,5;78;45,7;Rohdaten
2024-02-04;45,4;51,7;37,3;Rohdaten
2024-02-05;46,9;65;38,2;Rohdaten
2024-02-06;60,5;70,7;43,5;Rohdaten
2024-02-07;62,9;72,1;44,6;Rohdaten
2024-02-08;73,7;81,1;67,8;Rohdaten
2024-02-09;71,8;79,5;63,6;Rohdaten
2024-02-10;71,7;79,5;66,4;Rohdaten
2024-02-11;75,7;79,5;72,1;Rohdaten
2024-02-12;79,6;84,1;72,1;Rohdaten
2024-02-13;76;81,1;69,3;Rohdaten
2024-02-14;71,8;76,6;66,4;Rohdaten
2024-02-15;66,8;73,6;60,8;Rohdaten
2024-02-16;74,5;81,1;67,8;Rohdaten
2024-02-17;81,7;93;72,1;Rohdaten
2024-02-18;90;99,8;72,1;Rohdaten
2024-02-19;81,5;107;70,7;Rohdaten
2024-02-20;115;123;109;Rohdaten
2024-02-21;103;112;93;Rohdaten
2024-02-22;92,8;96,1;88,6;Rohdaten
2024-02-23;83,3;93;69,3;Rohdaten
2024-02-24;83,1;90;76,6;Rohdaten
2024-02-25;79,1;82,6;76,6;Rohdaten
2024-02-26;78,9;84,1;75,1;Rohdaten
2024-02-27;67,7;84,1;51,7;Rohdaten
2024-02-28;68,4;76,6;63,6;Rohdaten
2024-02-29;67,6;72,1;63,6;Rohdaten
2024-03-01;72,5;79,5;67,8;Rohdaten
2024-03-02;58,1;73,6;37,3;Rohdaten
2024-03-03;47,6;51,7;43,5;Rohdaten
2024-03-04;50,6;66,4;42,4;Rohdaten
2024-03-05;67,9;76,6;58,2;Rohdaten
2024-03-06;78,5;93;62,2;Rohdaten
2024-03-07;98,1;106;90;Rohdaten
2024-03-08;84,4;91,9;65;Rohdaten
2024-03-09;60,2;65;51,7;Rohdaten
2024-03-10;57,3;62,2;50,5;Rohdaten
2024-03-11;62,4;70,7;52,9;Rohdaten
2024-03-12;60,2;78;54,2;Rohdaten
2024-03-13;68;78;56,8;Rohdaten
2024-03-14;56,3;70,7;39,2;Rohdaten
2024-03-15;44,7;56,8;34,4;Rohdaten
2024-03-16;44;51,7;39,2;Rohdaten
2024-03-17;46,5;56,8;35,3;Rohdaten
2024-03-18;43,4;52,9;37,3;Rohdaten
2024-03-19;61,3;76,6;40,2;Rohdaten
2024-03-20;59,8;73,6;51,7;Rohdaten
2024-03-21;45,7;56,8;38,2;Rohdaten
2024-03-22;55,3;62,2;46,9;Rohdaten
2024-03-23;63,4;69,3;59,5;Rohdaten
2024-03-24;57,1;62,2;50,5;Rohdaten
2024-03-25;48,7;51,7;44,6;Rohdaten
2024-03-26;49,6;55,5;38,2;Rohdaten
2024-03-27;48,6;55,5;37,3;Rohdaten
2024-03-28;54,7;62,2;44,6;Rohdaten
2024-03-29;53,9;63,6;42,4;Rohdaten
2024-03-30;42,3;45,7;39,2;Rohdaten
2024-03-31;39,7;42,4;37,3;Rohdaten
2024-04-01;37,5;43,5;31,8;Rohdaten
2024-04-02;36,9;40,2;32,7;Rohdaten
2024-04-03;32;36,2;27,8;Rohdaten
2024-04-04;35,7;40,2;30,1;Rohdaten
2024-04-05;37,8;41,3;34,4;Rohdaten
2024-04-06;39,5;41,3;36,2;Rohdaten
2024-04-07;36,3;40,2;32,7;Rohdaten
2024-04-08;38,7;42,4;33,5;Rohdaten
2024-04-09;46,2;50,5;40,2;Rohdaten
2024-04-10;43,9;46,9;38,2;Rohdaten
2024-04-11;38,6;50,5;30,1;Rohdaten
2024-04-12;37,3;39,2;34,4;Rohdaten
2024-04-13;33,3;36,2;30,1;Rohdaten
2024-04-14;32;33,5;29,3;Rohdaten
2024-04-15;33,3;40,2;30,1;Rohdaten
2024-04-16;38;42,4;35,3;Rohdaten
2024-04-17;47,2;59,5;38,2;Rohdaten
2024-04-18;60,1;65;52,9;Rohdaten
2024-04-19;62,6;69,3;52,9;Rohdaten
2024-04-20;63,5;69,3;54,2;Rohdaten
2024-04-21;58,7;65;54,2;Rohdaten
2024-04-22;60,3;67,8;54,2;Rohdaten
2024-04-23;81,8;101;62,2;Rohdaten
2024-04-24;81,7;99,8;56,8;Rohdaten
2024-04-25;73;90;52,9;Rohdaten
2024-04-26;71,1;78;65;Rohdaten
2024-04-27;72,1;78;66,4;Rohdaten
2024-04-28;80,9;87,1;69,3;Rohdaten
2024-04-29;90,1;96,1;84,1;Rohdaten
2024-04-30;93,7;114;72,1;Rohdaten
2024-05-01;86,7;101;78;Rohdaten
2024-05-02;68;84,1;49,3;Rohdaten
2024-05-03;66,8;76,6;56,8;Rohdaten
2024-05-04;74,1;84,1;67,8;Rohdaten
2024-05-05;65;70,7;56,8;Rohdaten
2024-05-06;65,2;123;50,5;Rohdaten
2024-05-07;78,9;85,6;73,6;Rohdaten
2024-05-08;105;154;72,1;Rohdaten
2024-05-09;147;161;120;Rohdaten
2024-05-10;102;120;81,1;Rohdaten
2024-05-11;83;90;76,6;Rohdaten
2024-05-12;74,2;85,6;60,8;Rohdaten
2024-05-13;62,6;67,8;58,2;Rohdaten
2024-05-14;59,4;69,3;50,5;Rohdaten
2024-05-15;55,1;72,1;44,6;Rohdaten
2024-05-16;48;55,5;42,4;Rohdaten
2024-05-17;51,4;56,8;43,5;Rohdaten
2024-05-18;57,8;63,6;51,7;Rohdaten
2024-05-19;58,6;67,8;49,3;Rohdaten
2024-05-20;55,4;65;45,7;Rohdaten
2024-05-21;50,5;56,8;44,6;Rohdaten
2024-05-22;66;73,6;54,2;Rohdaten
2024-05-23;71,9;87,1;65;Rohdaten
2024-05-24;101;117;85,6;Rohdaten
2024-05-25;87,9;93;78;Rohdaten
2024-05-26;65,2;76,6;52,9;Rohdaten
2024-05-27;56,6;84,1;48,1;Rohdaten
2024-05-28;135;207;69,3;Rohdaten
