Datum;Mittelwert;Maximum;Minimum;Prüfstatus
01.11.24;116;123;110;Rohdaten
02.11.24;109;112;105;Rohdaten
03.11.24;108;112;104;Rohdaten
04.11.24;111;115;104;Rohdaten
05.11.24;115;121;108;Rohdaten
06.11.24;115;119;112;Rohdaten
07.11.24;114;118;110;Rohdaten
08.11.24;112;121;107;Rohdaten
09.11.24;106;108;102;Rohdaten
10.11.24;102;107;99;Rohdaten
11.11.24;102;103;100;Rohdaten
12.11.24;105;110;101;Rohdaten
13.11.24;104;107;100;Rohdaten
14.11.24;101;106;98;Rohdaten
15.11.24;99;102;97;Rohdaten
16.11.24;97;100;95;Rohdaten
17.11.24;96;98;94;Rohdaten
18.11.24;94;96;92;Rohdaten
